Image,Vietnamese,Target word,Transcription,Example
"<img src=""paste-22539988369411.jpg"" />",tuân theo,abide by,/əˈbaid bai/,<div>a.The two parties agreed to abide by the judge’s decision.</div><div>b.For years he has abided by a commitment to annual employee raises.</div>
"<img src=""paste-9298604195843 (1).jpg"" />","đồng ý, tán thành, bằng lòng, thoả thuận",agree,/əˈɡriː/,Teenagers and their parents rarely agree.
"<img src=""group-thumbs-up_1380643440871.jpg"" />","hợp đồng, giao kèo",agreement,/əˈɡriːmənt/,"a.According to the agreement, the caterer will also supply the flowers for the event.<div>b.The landlord and tenant were in agreement that the rent should be prorated to the middle of the month.</div>"
"<img src=""assurances-1024x498.jpg"" />","sự cam đoan, sự đảm bảo, sự tự tin; bảo hiểm nhân thọ",assurance,/ə'ʃʊ(ə)rəns/,<div><div>a. The sales associate gave his assurance that the missing keyboard would be replaced&nbsp;the next day.</div><div>b. Her self-assurance made it easy to see why she was in charge of the negotiations.</div></div>
"<img src=""1195435793898672465dagobert83_cancel.svg.hi.png"" />","sự bãi bỏ, hủy bỏ",cancellation,/kæn.səl'eiʃən/,<div><div>a. The cancellation of her flight caused her problems for the rest of the week.</div><div>b. The cancellation clause appears at the back of the contract.</div></div>
"<img src=""person-trying-to-determine-path-to-take_1380643440871.jpg"" />","định, xác định, định rõ",determine,/dɪˈtɜːmɪn/,"<div><div>a. After reading the contract, I was still unable to determine if our company was liable&nbsp;for back wages.</div><div>b. The skill of the union bargainers will determine whether the automotive plant will&nbsp;open next week.</div></div>"
"<img src=""recruitment-peopleonchairs_1380643440871.png"" />","dàn xếp để tuyển dụng một người; thuê một người;hấp dẫn ai đó, đính hôn",engage,/ɪnˈɡeɪdʒ/,<div><div>a.I have engaged a secretary to deal with all my paperwork.</div><div>b.You need to engage second gear.</div><div>c.He wrote about things that engaged him.</div></div>
"<img src=""RIAN_archive_848095_Signing_the_Agreement_to_eliminate_the_USSR_and_establish_the_Commonwealth_of_Independent_States.jpg"" />","thành lập, thiết lập, kiến lập",establish,/ɪˈstæblɪʃ/,"<div><div>a. Through her many books and interviews, Dr. Wan established herself as an&nbsp;authority on conflict resolution.</div><div>b. The merger of the two companies established a powerful new corporation.</div></div>"
"<img src=""1318490737.nv.gif"" />","bắt buộc, ép buộc",obligate,/ˈɒblɪɡeɪt/,<div><div>a. The contractor was obligated by the contract to work 40 hours a week.</div><div>b. I felt obligated to finish the project even though I could have exercised my option&nbsp;to quit.</div></div>
"<img src=""huan_luyen_quan_su_hoc_sinh_lop_1_1380643440871.jpg"" />","nghĩa vụ, bổn phận",obligation,/ˌɒblɪˈɡeɪʃn̩/,<div>a. You can just look – you’re under no obligation to buy.</div><div>b. Employers have an obligation to treat all employees equally.</div>
